strategy,cluster,E,share_mo,n_mo_c,cost_base_bpyr,cost_saved_bpyr,cost_saved_pct,saved_per_treated_mo_bp,turnover_removed,uniform_saved_matched_bpyr,cluster_minus_uniform_bpyr,net_base_pctyr,net_delta_pctyr
reversal,C1,100,0.373,44,38.24,8.831,23.09,20.0705,2.631,10.121,-1.29,11.244,0.554
reversal,C2,10,0.169,20,38.24,0.0,0.0,0.0,0.0,0.0,0.0,11.244,0.0
reversal,C2,15,0.169,20,38.24,0.255,0.67,1.2764,0.0657,0.239,0.016,11.244,0.034
reversal,C2,20,0.169,20,38.24,0.439,1.15,2.1956,0.1142,0.416,0.023,11.244,-0.024
reversal,C2,25,0.169,20,38.24,0.851,2.22,4.2538,0.1999,0.742,0.109,11.244,-0.28
reversal,C2,30,0.169,20,38.24,1.13,2.95,5.6484,0.2769,1.075,0.055,11.244,-0.277
reversal,C2,40,0.169,20,38.24,1.764,4.61,8.8194,0.4175,1.683,0.081,11.244,0.248
reversal,C2,60,0.169,20,38.24,2.809,7.35,14.0473,0.681,2.708,0.101,11.244,0.176
reversal,C2,100,0.169,20,38.24,4.478,11.71,22.3908,1.1453,4.409,0.07,11.244,-0.348
reversal,C3-deeploser,10,0.144,17,38.24,0.0,0.0,0.0,0.0,0.0,0.0,11.244,0.0
reversal,C3-deeploser,15,0.144,17,38.24,0.654,1.71,3.8446,0.1338,0.487,0.166,11.244,-0.332
reversal,C3-deeploser,20,0.144,17,38.24,0.928,2.43,5.4564,0.1949,0.72,0.207,11.244,-0.497
