permno,ticker,comnam,namedt,nameenddt
87445,TDY,TELEDYNE TECHNOLOGIES,2024-06-24,2024-12-31
90175,XPO,X P O INC,2022-12-19,2024-12-31
93101,LEA,LEAR CORP,2013-04-05,2024-12-31
90708,MORN,MORNINGSTAR INC,2005-05-03,2024-12-31
90664,DXCM,DEXCOM INC,2005-04-14,2024-12-31
93002,AVGO,BROADCOM INC,2018-04-05,2024-12-31
93132,FTNT,FORTINET INC,2009-11-18,2024-12-31
12400,LPLA,L P L FINANCIAL HOLDINGS INC,2012-06-20,2024-12-31
12476,TRGP,TARGA RESOURCES CORP,2024-06-24,2024-12-31
12369,GM,GENERAL MOTORS CO,2010-11-18,2024-12-31
90601,NDAQ,NASDAQ INC,2015-09-08,2024-12-31
90569,WEX,W E X INC,2020-03-26,2024-12-31
90199,CBRE,C B R E GROUP INC,2018-03-20,2024-12-31
12366,BAH,BOOZ ALLEN HAMILTON HOLDING CORP,2010-11-17,2024-12-31
12308,CHTR,CHARTER COMMUNICATIONS INC NEW,2016-05-18,2024-12-31
90520,CE,CELANESE CORP DEL,2018-09-18,2024-12-31
87337,PLUG,PLUG POWER INC,2011-05-20,2024-12-31
90178,ALNY,ALNYLAM PHARMACEUTICALS INC,2004-05-28,2024-12-31
87432,A,AGILENT TECHNOLOGIES INC,2023-03-08,2024-12-31
91068,CMG,CHIPOTLE MEXICAN GRILL INC,2009-12-22,2024-12-31
87659,EPC,EDGEWELL PERSONAL CARE CO,2020-02-18,2024-12-31
91579,KBR,K B R INC,2008-06-18,2024-12-31
89134,OVV,OVINTIV INC,2023-08-09,2024-12-31
13210,EPAM,EPAM SYSTEMS INC,2015-07-01,2024-12-31
91575,HRI,HERC HOLDINGS INC,2019-07-05,2024-12-31
91556,ROST,ROSS STORES INC,1986-04-01,2024-12-31
91547,LDOS,LEIDOS HOLDINGS INC,2024-03-27,2024-12-31
92108,BX,BLACKSTONE INC,2021-08-09,2024-12-31
89179,ELV,ELEVANCE HEALTH INC,2022-06-28,2024-12-31
91531,OC,OWENS CORNING NEW,2024-06-25,2024-12-31
12872,MPC,MARATHON PETROLEUM CORP,2011-07-01,2024-12-31
89195,PFG,PRINCIPAL FINANCIAL GROUP INC,2017-12-18,2024-12-31
89216,AYI,ACUITY BRANDS INC,2019-09-17,2024-12-31
92121,DFS,DISCOVER FINANCIAL SERVICES,2021-02-16,2024-12-31
11533,FICO,FAIR ISAAC CORP,2021-03-31,2024-12-31
91461,WU,WESTERN UNION CO,2013-11-21,2024-12-31
88664,JKHY,HENRY JACK & ASSOC INC,2000-08-01,2024-12-31
13323,ENPH,ENPHASE ENERGY INC,2012-03-30,2024-12-31
88661,TPR,TAPESTRY INC,2017-10-31,2024-12-31
92203,LULU,LULULEMON ATHLETICA INC,2007-07-30,2024-12-31
92220,MASI,MASIMO CORP,2007-08-08,2024-12-31
89217,AAP,ADVANCE AUTO PARTS INC,2010-05-20,2024-12-31
92221,MELI,MERCADOLIBRE INC,2007-08-10,2024-12-31
91416,HBI,HANESBRANDS INC,2021-04-01,2024-12-31
91594,SPR,SPIRIT AEROSYSTEMS HOLDINGS INC,2024-06-20,2024-12-31
91392,TNL,TRAVEL & LEISURE CO,2021-02-17,2024-12-31
13181,GWRE,GUIDEWIRE SOFTWARE INC,2012-01-25,2024-12-31
92043,IBKR,INTERACTIVE BROKERS GROUP INC,2019-10-07,2024-12-31
91937,TMUS,T MOBILE U S INC,2015-10-27,2024-12-31
10933,MKL,MARKEL GROUP INC,2023-05-26,2024-12-31
13108,GRPN,GROUPON INC,2020-06-11,2024-12-31
89002,BFH,BREAD FINANCIAL HOLDINGS INC,2022-04-04,2024-12-31
13046,UI,UBIQUITI INC,2019-08-20,2024-12-31
91849,BR,BROADRIDGE FINANCIAL SOLUTNS INC,2023-08-11,2024-12-31
89003,FIS,FIDELITY NATIONAL INFO SVCS INC,2021-04-05,2024-12-31
88873,GPN,GLOBAL PAYMENTS INC,2024-07-01,2024-12-31
91975,ACM,A E C O M,2015-01-07,2024-12-31
11308,KO,COCA COLA CO,2024-07-01,2024-12-31
13035,XYL,XYLEM INC,2014-01-09,2024-12-31
11403,CDNS,CADENCE DESIGN SYSTEMS INC,2005-10-31,2024-12-31
89006,MDLZ,MONDELEZ INTERNATIONAL INC,2012-10-02,2024-12-31
13168,TRIP,TRIPADVISOR INC,2011-12-21,2024-12-31
12981,FBIN,FORTUNE BRANDS INNOVATIONS INC,2022-12-15,2024-12-31
91683,SBH,SALLY BEAUTY HOLDINGS INC,2008-06-18,2024-12-31
91668,IPGP,I P G PHOTONICS CORP,2006-12-13,2024-12-31
88863,EXAS,EXACT SCIENCES CORP,2001-01-31,2024-12-31
88860,ALGN,ALIGN TECHNOLOGY INC,2001-01-26,2024-12-31
88853,FLR,FLUOR CORP NEW,2021-03-31,2024-12-31
89031,AXON,AXON ENTERPRISE INC,2021-01-26,2024-12-31
89070,ZBH,ZIMMER BIOMET HOLDINGS INC,2015-06-29,2024-12-31
91611,FSLR,FIRST SOLAR INC,2006-11-17,2024-12-31
92050,PODD,INSULET CORP,2007-05-15,2024-12-31
89244,WW,W W INTERNATIONAL INC,2019-09-30,2024-12-31
10777,FCNCA,FIRST CITIZENS BANCSHARES INC NC,1999-07-01,2024-12-31
89258,PRU,PRUDENTIAL FINANCIAL INC,2023-04-03,2024-12-31
89626,CME,C M E GROUP INC,2008-07-14,2024-12-31
91103,UAL,UNITED AIRLINES HOLDINGS INC,2019-07-01,2024-12-31
10516,ADM,ARCHER DANIELS MIDLAND CO,2012-10-31,2024-12-31
12591,APO,APOLLO GLOBAL MANAGEMENT INC NEW,2022-01-03,2024-12-31
88182,ON,ON SEMICONDUCTOR CORP,2015-04-06,2024-12-31
11752,COHR,COHERENT CORP,2023-02-23,2024-12-31
88159,EXEL,EXELIXIS INC,2000-04-11,2024-12-31
88031,MNST,MONSTER BEVERAGE CORP NEW,2015-06-15,2024-12-31
12558,KMI,KINDER MORGAN INC,2020-11-03,2024-12-31
13407,META,META PLATFORMS INC,2022-06-09,2024-12-31
91926,DAL,DELTA AIR LINES INC,2007-05-03,2024-12-31
89781,MOH,MOLINA HEALTHCARE INC,2021-03-31,2024-12-31
89866,LKQ,L K Q CORP,2012-05-22,2024-12-31
91041,LYV,LIVE NATION ENTERTAINMENT INC,2021-04-01,2024-12-31
87842,MET,METLIFE INC,2011-06-13,2024-12-31
92402,MSCI,M S C I INC,2021-04-01,2024-12-31
92602,PM,PHILIP MORRIS INTERNATIONAL INC,2008-03-31,2024-12-31
11762,ETN,EATON CORP PLC,2022-06-08,2024-12-31
90993,ICE,INTERCONTINENTALEXCHANGE GRP INC,2013-11-13,2024-12-31
87717,EXPD,EXPEDITORS INTERNATIONAL WA INC,2023-11-21,2024-12-31
11809,CLH,CLEAN HARBORS INC,2008-12-15,2024-12-31
13447,NOW,SERVICENOW INC,2019-11-21,2024-12-31
12490,IBM,INTERNATIONAL BUSINESS MACHS COR,2021-12-03,2024-12-31
91152,TDG,TRANSDIGM GROUP INC,2006-03-15,2024-12-31
88281,CRL,CHARLES RIVER LABS INTL INC,2021-04-01,2024-12-31
89617,EQIX,EQUINIX INC,2015-01-26,2024-12-31
89540,DKS,DICKS SPORTING GOODS INC,2002-10-16,2024-12-31
12623,HII,HUNTINGTON INGALLS INDS INC,2021-03-31,2024-12-31
88446,ILMN,ILLUMINA INC,2000-07-28,2024-12-31
89269,CNC,CENTENE CORP DEL,2003-10-16,2024-12-31
11600,XRAY,DENTSPLY SIRONA INC,2016-03-01,2024-12-31
88439,ENTG,ENTEGRIS INC,2000-07-11,2024-12-31
91277,QRTEA,QURATE RETAIL INC,2018-05-29,2024-12-31
89301,GME,GAMESTOP CORP NEW,2021-03-29,2024-12-31
11618,FAST,FASTENAL CO,1999-07-01,2024-12-31
89353,JBLU,JETBLUE AIRWAYS CORP,2002-04-12,2024-12-31
88360,MRVL,MARVELL TECHNOLOGY INC,2021-04-21,2024-12-31
11674,DTE,D T E ENERGY CO,1996-01-02,2024-12-31
90979,UAA,UNDER ARMOUR INC,2016-12-07,2024-12-31
88352,ISRG,INTUITIVE SURGICAL INC,2003-07-01,2024-12-31
91233,MA,MASTERCARD INC,2021-04-01,2024-12-31
88351,INSM,INSMED INC,2011-03-03,2024-12-31
89506,SAIA,SAIA INC,2006-07-24,2024-12-31
92293,TDC,TERADATA CORP DE,2024-06-20,2024-12-31
12622,HCA,H C A HEALTHCARE INC,2017-05-08,2024-12-31
89508,KMX,CARMAX INC,2006-06-30,2024-12-31
13356,PSX,PHILLIPS 66,2023-09-21,2024-12-31
89525,CMCSA,COMCAST CORP NEW,2002-11-19,2024-12-31
89533,WYNN,WYNN RESORTS LTD,2002-10-25,2024-12-31
92322,ULTA,ULTA BEAUTY INC,2017-01-30,2024-12-31
10696,FI,FISERV INC,2023-06-07,2024-12-31
89393,NFLX,NETFLIX INC,2002-05-23,2024-12-31
11404,ED,CONSOLIDATED EDISON INC,2021-03-29,2024-12-31
16347,AA,ALCOA CORP,2019-09-09,2024-12-31
87056,BMRN,BIOMARIN PHARMACEUTICAL INC,1999-07-23,2024-12-31
23536,WEC,W E C ENERGY GROUP INC,2017-12-26,2024-12-31
66384,WDC,WESTERN DIGITAL CORP,2012-06-01,2024-12-31
23473,CINF,CINCINNATI FINANCIAL CORP,1992-11-02,2024-12-31
66800,AIG,AMERICAN INTERNATIONAL GROUP INC,2021-04-05,2024-12-31
23393,CHD,CHURCH & DWIGHT INC,1990-08-15,2024-12-31
23340,CRBG,COREBRIDGE FINANCIAL INC,2022-09-15,2024-12-31
23229,CMS,C M S ENERGY CORP,2021-04-01,2024-12-31
67847,RGLD,ROYAL GOLD INC,2007-11-01,2024-12-31
68196,SEIC,S E I INVESTMENTS CO,1999-07-01,2024-12-31
23026,FE,FIRSTENERGY CORP,1997-11-10,2024-12-31
22976,WBD,WARNER BROS DISCOVERY INC,2022-04-11,2024-12-31
22779,MSI,MOTOROLA SOLUTIONS INC,2021-04-01,2024-12-31
22752,MRK,MERCK & CO INC NEW,2009-11-04,2024-12-31
22623,CEG,CONSTELLATION ENERGY CORP,2022-02-02,2024-12-31
22592,MMM,3M CO,2023-07-31,2024-12-31
