combo,n_features,fold,hmm_seed,n_xgb_seeds,val_ir,val_sharpe,n_val_months,hmm_sec,xgb_sec
DD+CS+SKEW+TERM,4,101,2,5,1.1274377987972661,0.7437000762060378,12,53.4,18.7
DD+CS+SKEW+TERM,4,101,3,5,0.8391303634676759,0.601748278951125,12,53.5,18.8
DD+CS+SKEW+TERM,4,102,1,5,-0.9812835262126479,0.6263250034494117,12,56.4,19.6
DD+CS+SKEW+TERM,4,102,2,5,-1.7662839701396629,0.07729886099871722,12,56.1,19.5
DD+CS+SKEW+TERM,4,102,3,5,-1.5757466311490174,0.16411263016261723,12,56.6,19.4
DD+CS+SKEW+TERM,4,103,1,5,0.9190486467374908,2.2968440219543167,12,58.6,20.5
DD+CS+SKEW+TERM,4,103,2,5,1.953147039202573,3.4334316724871483,12,58.4,20.5
DD+CS+SKEW+TERM,4,103,3,5,0.5529149899568626,2.2903349709382668,12,58.8,20.5
DD+CS+SKEW+TERM,4,104,1,5,-0.7809001244104838,0.3493349895109041,12,61.4,21.5
DD+CS+SKEW+TERM,4,104,2,5,-0.4119554201351092,0.5995730332040433,12,61.7,21.5
DD+CS+SKEW+TERM,4,104,3,5,-0.6109055023473439,0.5147701142302267,12,61.5,21.1
DD+CS+SKEW+TERM,4,105,1,5,-0.877438204541569,-0.4214257021888916,12,64.5,22.1
DD+CS+SKEW+TERM,4,105,2,5,-0.5227369336480868,-0.2873213595476479,12,64.0,22.3
DD+CS+SKEW+TERM,4,105,3,5,-0.971390266907028,-0.46416754155936174,12,63.9,22.3
