combo,n_features,fold,hmm_seed,n_xgb_seeds,fee,val_sharpe,n_val_months,hmm_elapsed_sec,xgb_elapsed_sec
DD+REL_N,2,3,1,5,0.001,-0.6564624580037403,24,47.176223039627075,57.699559926986694
DD+REL_N,2,3,2,5,0.001,-0.672779611216717,24,47.5044219493866,55.522578954696655
DD+REL_N,2,4,0,5,0.001,0.8874887312927304,24,55.09535312652588,66.24825406074524
DD+REL_N,2,4,1,5,0.001,0.996787119942245,24,54.47056603431702,66.8437111377716
DD+REL_N,2,4,2,5,0.001,1.9027099668162557,24,55.112762689590454,66.5704493522644
DD+REL_N,2,5,0,5,0.001,0.3818234758493028,24,64.34336805343628,78.40309882164001
DD+REL_N,2,5,1,5,0.001,0.6642144051440834,24,65.55659914016724,79.45652794837952
DD+REL_N,2,5,2,5,0.001,0.5173246560923275,24,65.66788506507874,77.93108081817627
DD+TERM,2,1,0,5,0.001,-0.2459520132532776,24,28.507266998291016,37.19043684005737
DD+TERM,2,1,1,5,0.001,0.8042968154380362,24,28.238247871398926,38.13942098617554
DD+TERM,2,1,2,5,0.001,0.7710489633960529,24,28.17554211616516,36.324450731277466
DD+TERM,2,2,0,5,0.001,-0.5286325923782589,24,37.47323203086853,46.60305094718933
DD+TERM,2,2,1,5,0.001,0.9825888384178941,24,37.534817934036255,47.31943702697754
DD+TERM,2,2,2,5,0.001,0.23103385985969596,24,37.682026863098145,47.76270413398743
DD+TERM,2,3,0,5,0.001,-0.1253863788900126,24,46.979713916778564,61.44675397872925
DD+TERM,2,3,1,5,0.001,-0.5144335294724756,24,46.65028619766235,61.65870189666748
DD+TERM,2,3,2,5,0.001,-0.4365353080587261,24,46.54422903060913,60.83725380897522
DD+TERM,2,4,0,5,0.001,1.132038984201618,24,56.189310789108276,66.41805601119995
DD+TERM,2,4,1,5,0.001,-0.2894038341623958,24,56.27099108695984,73.43814516067505
DD+TERM,2,4,2,5,0.001,0.74939917644701,24,56.25268507003784,73.70765399932861
DD+TERM,2,5,0,5,0.001,-0.1731507519917125,24,64.90982389450073,94.96303701400757
DD+TERM,2,5,1,5,0.001,0.010793325153564248,24,64.69451999664307,94.96396803855896
DD+TERM,2,5,2,5,0.001,-0.31729522807417276,24,64.79070782661438,94.66930413246155
DD+SKEW,2,1,0,5,0.001,-0.01441526756112751,24,37.76820206642151,39.11932897567749
DD+SKEW,2,1,1,5,0.001,0.9405181207599602,24,32.516013860702515,37.957435131073
DD+SKEW,2,1,2,5,0.001,0.37837303183541215,24,32.18178987503052,37.9428071975708
DD+SKEW,2,2,0,5,0.001,0.9097571750965895,24,40.30806493759155,51.8489670753479
DD+SKEW,2,2,1,5,0.001,0.15821004887046033,24,40.142757177352905,52.8291130065918
DD+SKEW,2,2,2,5,0.001,0.6164277782095895,24,39.817610025405884,53.512524127960205
DD+SKEW,2,3,0,5,0.001,-0.48357065840087576,24,50.82098889350891,61.303919076919556
DD+SKEW,2,3,1,5,0.001,-0.5685362153588336,24,50.39077401161194,60.36979079246521
DD+SKEW,2,3,2,5,0.001,-0.458731156089951,24,50.18672299385071,60.43564319610596
DD+SKEW,2,4,0,5,0.001,0.8714527676378727,24,56.376181840896606,73.49641394615173
DD+SKEW,2,4,1,5,0.001,1.0340712947332276,24,56.147478103637695,74.54020690917969
DD+SKEW,2,4,2,5,0.001,1.531820067256335,24,56.10469102859497,73.88832497596741
DD+SKEW,2,5,0,5,0.001,0.18383534969351864,24,67.89487075805664,84.48950004577637
DD+SKEW,2,5,1,5,0.001,-0.011673798277554279,24,69.24800300598145,83.42251014709473
DD+SKEW,2,5,2,5,0.001,-0.1907458302309669,24,69.10037088394165,83.4721622467041
DD+VOL+CS,3,1,0,5,0.001,0.07047910991044695,24,29.762486934661865,37.929473876953125
DD+VOL+CS,3,1,1,5,0.001,-0.20430375091348427,24,29.073173999786377,38.89191198348999
DD+VOL+CS,3,1,2,5,0.001,0.26628513148509475,24,28.919122219085693,39.49901723861694
DD+VOL+CS,3,2,0,5,0.001,0.7212522699967808,24,38.35589814186096,45.982661962509155
DD+VOL+CS,3,2,1,5,0.001,0.775010184398813,24,38.85849714279175,47.620691776275635
DD+VOL+CS,3,2,2,5,0.001,0.7217122224986733,24,39.037290811538696,48.80009078979492
DD+VOL+CS,3,3,0,5,0.001,-0.2105478199409035,24,47.181955099105835,58.938313007354736
DD+VOL+CS,3,3,1,5,0.001,-0.46734598673545774,24,46.807432889938354,60.615797996520996
DD+VOL+CS,3,3,2,5,0.001,-0.3930692601482097,24,46.70870018005371,61.00641894340515
DD+VOL+CS,3,4,0,5,0.001,1.0842275396466245,24,56.287193775177,64.6512360572815
