name,combo,n_feat,has_nfci,passed,min_ess,n_sig,ll,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD+DISP+LVIX,"['DD_z', 'DISP_z', 'LVIX_z']",3,False,False,15.460757167389422,3,-810.2805391241034,0.9096144250865733,0.8644963299390866,0.9844527475194405,0.095847088227217,0.10391611862625949
DD+DISP+ADR,"['DD_z', 'DISP_z', 'ADR_z']",3,False,True,1019.7165277130886,3,-848.7099075151201,0.8953165415157222,0.8657700807672034,0.9305645774360123,0.10283420551068684,0.1937781762974636
DD+DISP+SKEW,"['DD_z', 'DISP_z', 'SKEW_z']",3,False,True,1186.9339821742392,3,-865.4669159891274,0.9913780546543765,0.8664219665063777,0.7499227294810524,0.10594001953242622,0.10664833553595948
DD+DISP+TERM,"['DD_z', 'DISP_z', 'TERM_z']",3,False,True,865.505117944113,2,-908.4040146570055,0.9968584589849881,0.8624771940787745,0.9999690645257345,0.08687428478970832,0.17640461417016903
DD+DISP+NFCI,"['DD_z', 'DISP_z', 'NFCI_z']",3,True,True,642.1753331776094,3,-643.6334838365193,0.9998955700334266,0.9999730259540675,0.9999306061058653,0.10863318682501566,0.1386320982198438
DD+REL_N+CS,"['DD_z', 'REL_N_z', 'CS_z']",3,False,True,798.9144720769808,3,-640.0532396689523,0.8356019125679661,0.8640868336345736,0.783490482028488,0.08520159186544483,0.1390886939010996
DD+REL_N+LVIX,"['DD_z', 'REL_N_z', 'LVIX_z']",3,False,True,556.9088548635145,3,-736.9331033900703,0.9948556761117943,0.9956831525828242,0.9086904870722159,0.2687108196244781,0.0878953205599677
DD+REL_N+ADR,"['DD_z', 'REL_N_z', 'ADR_z']",3,False,True,1102.2616375164425,2,-790.7108400456298,0.8677623506792322,0.8515917038840548,0.7687471729451454,0.11163198167464129,0.11316612358368307
DD+REL_N+SKEW,"['DD_z', 'REL_N_z', 'SKEW_z']",3,False,True,364.7731851267033,3,-830.198225674981,0.9106184892290928,0.8630420157641527,0.7084705788294569,0.09953430920673756,0.07571430356562457
DD+REL_N+TERM,"['DD_z', 'REL_N_z', 'TERM_z']",3,False,False,1246.4243981735406,3,-841.8758900589289,0.7420432878068577,0.8472023089710173,0.665653027919701,0.4410460638140354,0.16437975664579974
DD+REL_N+NFCI,"['DD_z', 'REL_N_z', 'NFCI_z']",3,True,True,307.88858673161366,3,-496.1831963668716,0.997131833023935,0.9999824726910755,0.7752698662331468,0.14219328970982084,0.06677545736182793
DD+CS+LVIX,"['DD_z', 'CS_z', 'LVIX_z']",3,False,True,739.1838872344364,3,-665.1191204842255,0.8441280363772541,0.8638800546127282,0.8501400234320762,0.10288319607608976,0.12919021915728665
DD+CS+ADR,"['DD_z', 'CS_z', 'ADR_z']",3,False,True,253.3512470917099,3,-705.1775616753803,0.8622120966855165,0.8565235896765422,0.8015408828732005,0.10035326459790576,0.16574107010981937
DD+CS+SKEW,"['DD_z', 'CS_z', 'SKEW_z']",3,False,True,1182.4466473694931,3,-740.2427890259586,0.8919741127121903,0.883715185745013,0.7499874834676137,0.09688494362170867,0.12232723333677342
DD+CS+TERM,"['DD_z', 'CS_z', 'TERM_z']",3,False,True,953.8098615646438,3,-752.881081002974,0.7466114102461232,0.8527455310951544,0.7604068231901702,0.09629412796541166,0.1227780595596648
DD+CS+NFCI,"['DD_z', 'CS_z', 'NFCI_z']",3,True,True,218.28174170722608,3,-430.19134179875385,0.9056095729102959,0.9500494467571852,0.9633930035410403,0.08847251959764897,0.15411384929546454
DD+LVIX+ADR,"['DD_z', 'LVIX_z', 'ADR_z']",3,False,True,463.20736395878686,3,-793.8986789240162,0.886895490295533,0.8577055265513055,0.7992231997197818,0.10392377014575162,0.14246229323621534
